"id","sex","smoking","alcohol","people_main","political","personal_main"
"2024153","female","not specified","not specified","not specified","not specified","not specified"
"3986612","female","not specified","not specified","not specified","Communist","not specified"
"7677524","male","not specified","not specified","not specified","not specified","not specified"
"4435190","male","not specified","not specified","not specified","not specified","not specified"
"5063579","male","not specified","not specified","not specified","not specified","not specified"
"6104068","female","not specified","not specified","not specified","not specified","not specified"
"3517789","female","not specified","not specified","not specified","not specified","not specified"
"1910809","male","not specified","neutral","not specified","not specified","not specified"
"8303897","male","not specified","not specified","not specified","not specified","not specified"
"1027183","female","not specified","not specified","not specified","not specified","not specified"
"6016109","male","not specified","not specified","not specified","not specified","not specified"
"8563730","female","not specified","not specified","not specified","not specified","not specified"
"3141388","male","not specified","not specified","not specified","not specified","not specified"
"9123506","female","not specified","not specified","not specified","not specified","not specified"
"1177753","male","not specified","not specified","not specified","not specified","not specified"
"6057260","male","not specified","not specified","not specified","not specified","not specified"
"771843","male","not specified","not specified","not specified","not specified","not specified"
"7399137","male","not specified","not specified","not specified","Apathetic","not specified"
"1987393","female","not specified","not specified","not specified","not specified","not specified"
"1474088","male","not specified","not specified","not specified","not specified","not specified"
"3563459","male","compromisable","compromisable","wealth and power","Ultraconservative","not specified"
"2166232","male","not specified","not specified","not specified","not specified","not specified"
"3820838","male","not specified","not specified","not specified","Moderate","not specified"
"6554045","female","not specified","not specified","not specified","not specified","not specified"
"6564120","male","not specified","not specified","not specified","not specified","not specified"
"3639968","male","not specified","not specified","not specified","not specified","not specified"
"7730459","male","not specified","not specified","not specified","not specified","not specified"
"3955569","female","not specified","not specified","not specified","not specified","not specified"
"2439977","female","not specified","not specified","not specified","not specified","not specified"
"3965098","male","negative","not specified","not specified","Moderate","not specified"
"2064483","male","not specified","not specified","not specified","not specified","not specified"
"4118480","male","not specified","not specified","not specified","not specified","not specified"
"8615447","male","not specified","not specified","not specified","not specified","not specified"
"555692","female","not specified","not specified","not specified","not specified","not specified"
"7916690","male","not specified","not specified","not specified","Moderate","not specified"
"6014268","male","not specified","not specified","not specified","not specified","not specified"
"2469365","male","not specified","not specified","not specified","not specified","not specified"
"8072841","female","not specified","not specified","not specified","not specified","not specified"
"3220206","female","not specified","not specified","not specified","not specified","not specified"
"4089643","female","not specified","not specified","not specified","not specified","not specified"
"5703773","male","very negative","positive","health and beauty","Communist","not specified"
"1398449","female","not specified","not specified","not specified","not specified","not specified"
"207456","female","not specified","not specified","not specified","Moderate","not specified"
"2843690","female","not specified","not specified","not specified","not specified","not specified"
"5095137","female","not specified","not specified","not specified","not specified","not specified"
"2305289","female","not specified","not specified","not specified","not specified","not specified"
"7702700","female","not specified","not specified","not specified","not specified","not specified"
"4851862","male","not specified","not specified","not specified","not specified","not specified"
"9927849","male","not specified","not specified","not specified","not specified","not specified"
"1708385","male","not specified","not specified","not specified","not specified","not specified"
"6163759","female","not specified","not specified","not specified","not specified","not specified"
"6580249","male","not specified","not specified","not specified","not specified","not specified"
"8139185","female","not specified","not specified","not specified","not specified","not specified"
"81003","female","not specified","not specified","not specified","not specified","not specified"
"6681129","male","not specified","not specified","not specified","not specified","not specified"
"9605142","male","not specified","not specified","not specified","not specified","not specified"
"314711","female","not specified","not specified","not specified","not specified","not specified"
"6898911","male","not specified","not specified","not specified","not specified","not specified"
"628632","female","not specified","not specified","not specified","not specified","not specified"
"3247998","female","not specified","not specified","not specified","not specified","not specified"
"311407","male","not specified","not specified","not specified","not specified","not specified"
"2300215","male","not specified","not specified","not specified","not specified","not specified"
"6305808","male","not specified","not specified","not specified","Communist","not specified"
"2236262","male","not specified","not specified","not specified","not specified","not specified"
"8350196","female","not specified","not specified","not specified","not specified","not specified"
